costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conml,act,at,lt,teq,mkvalt
A,USD,STD,INDL,C,AMH,2011-12-31,017639,American Homes 4 Rent,,3.5230,0.0490,3.4740,
A,USD,STD,INDL,C,AMH,2012-12-31,017639,American Homes 4 Rent,,921.4580,16.2940,905.1640,
A,USD,STD,INDL,C,AMH,2013-12-31,017639,American Homes 4 Rent,,4224.1440,573.4850,3650.6590,3005.1648
A,USD,STD,INDL,C,AMH,2014-12-31,017639,American Homes 4 Rent,,6227.3510,2057.7570,4169.5940,3601.4022
A,USD,STD,INDL,C,AMH,2015-12-31,017639,American Homes 4 Rent,,6807.7860,2872.5530,3935.2330,3463.1309
A,USD,STD,INDL,C,AMH,2016-12-31,017639,American Homes 4 Rent,,8107.2100,3169.5900,4937.6200,5106.0285
A,USD,STD,INDL,C,AMH,2017-12-31,017639,American Homes 4 Rent,,8608.7680,2732.9440,5875.8240,6262.6200
A,USD,STD,INDL,C,AMH,2018-12-31,017639,American Homes 4 Rent,,9001.4810,3027.7390,5973.7420,5888.5025
A,USD,STD,INDL,C,AMH,2019-12-31,017639,American Homes 4 Rent,,9100.1090,3081.3190,6018.7900,7882.4740
A,USD,STD,FS,C,AMH,2020-12-31,017639,American Homes 4 Rent,,9593.6250,3121.1950,6472.4300,
A,USD,STD,INDL,C,AMH,2020-12-31,017639,American Homes 4 Rent,,9593.6250,3121.1950,6472.4300,
A,USD,STD,FS,C,AMH,2021-12-31,017639,American Homes 4 Rent,,10962.4330,4224.0040,6738.4290,
A,USD,STD,INDL,C,AMH,2021-12-31,017639,American Homes 4 Rent,,10962.4330,4224.0040,6738.4290,
A,USD,STD,FS,C,AMH,2022-12-31,017639,American Homes 4 Rent,,12175.0590,5000.4010,7174.6580,
A,USD,STD,INDL,C,AMH,2022-12-31,017639,American Homes 4 Rent,,12175.0590,5000.4010,7174.6580,
A,USD,STD,FS,C,AMH,2023-12-31,017639,American Homes 4 Rent,,12688.1900,5035.3070,7652.8830,
A,USD,STD,INDL,C,AMH,2023-12-31,017639,American Homes 4 Rent,,12688.1900,5035.3070,7652.8830,
A,USD,STD,FS,C,AMH,2024-12-31,017639,American Homes 4 Rent,,13381.1510,5532.5210,7848.6300,
A,USD,STD,INDL,C,AMH,2024-12-31,017639,American Homes 4 Rent,,13381.1510,5532.5210,7848.6300,
A,USD,STD,FS,C,AMH,2025-12-31,017639,American Homes 4 Rent,,13242.1200,5532.6140,7709.5060,11769.6897
A,USD,STD,INDL,C,AMH,2025-12-31,017639,American Homes 4 Rent,,13242.1200,5532.6140,7709.5060,11769.6897
A,USD,STD,INDL,C,AMT,1996-12-31,105365,American Tower Corp,2.6900,37.1180,6.8600,,
A,USD,STD,INDL,C,AMT,1997-12-31,105365,American Tower Corp,8.6870,255.3560,101.5230,,
A,USD,STD,INDL,C,AMT,1998-12-31,105365,American Tower Corp,207.5850,1502.3430,396.5410,,2935.3493
A,USD,STD,INDL,C,AMT,1999-12-31,105365,American Tower Corp,139.4070,3018.8660,865.1300,,4504.5763
A,USD,STD,INDL,C,AMT,2000-12-31,105365,American Tower Corp,471.1520,5660.6790,2767.3030,,6526.0140
A,USD,STD,INDL,C,AMT,2001-12-31,105365,American Tower Corp,522.2070,6829.7230,3946.5900,,1773.5984
A,USD,STD,INDL,C,AMT,2002-12-31,105365,American Tower Corp,536.2530,5662.2030,3906.3130,1740.3230,662.8175
A,USD,STD,INDL,C,AMT,2003-12-31,105365,American Tower Corp,411.5150,5290.6540,3661.8770,1610.1780,2303.9567
A,USD,STD,INDL,C,AMT,2004-12-31,105365,American Tower Corp,309.0370,5085.9720,3608.9380,1470.9530,4224.6400
A,USD,STD,INDL,C,AMT,2005-12-31,105365,American Tower Corp,225.8780,8786.8540,4235.2390,4541.8210,11182.9505
A,USD,STD,INDL,C,AMT,2006-12-31,105365,American Tower Corp,486.0220,8613.2190,4224.7120,4384.9160,15831.7722
A,USD,STD,INDL,C,AMT,2007-12-31,105365,American Tower Corp,245.6740,8130.4570,5105.0230,3022.0920,17019.5094
A,USD,STD,INDL,C,AMT,2008-12-31,105365,American Tower Corp,473.6800,8211.6650,5217.1860,2991.3220,11639.3656
A,USD,STD,INDL,C,AMT,2009-12-31,105365,American Tower Corp,651.3560,8512.6680,5194.5430,3318.1250,17353.0064
A,USD,STD,INDL,C,AMT,2010-12-31,105365,American Tower Corp,1404.1740,10368.0140,6863.4560,3504.5580,20587.6803
A,USD,STD,INDL,C,AMT,2011-12-31,105365,American Tower Corp,842.7710,12232.4300,8822.2880,3410.1420,23622.4564
A,USD,STD,INDL,C,AMT,2012-12-31,105365,American Tower Corp,829.5280,14089.1290,10404.9480,3684.1810,30528.6816
A,USD,STD,INDL,C,AMT,2013-12-31,105365,American Tower Corp,952.6560,20272.5710,16682.5310,3590.0400,31518.0445
A,USD,STD,INDL,C,AMT,2014-12-31,105365,American Tower Corp,947.9680,21331.5450,17278.1930,4053.3520,39213.6962
A,USD,STD,INDL,C,AMT,2015-12-31,105365,American Tower Corp,996.4680,26904.2720,20191.4540,6712.8180,41095.6508
A,USD,STD,INDL,C,AMT,2016-12-31,105365,American Tower Corp,1689.8700,30879.1500,22811.7300,6976.2000,45136.2450
A,USD,STD,INDL,C,AMT,2017-12-31,105365,American Tower Corp,2038.1000,33214.3000,25260.0000,6828.1000,61179.7494
A,USD,STD,INDL,C,AMT,2018-12-31,105365,American Tower Corp,2385.1000,33010.4000,26106.0000,5899.6000,69771.2814
A,USD,STD,INDL,C,AMT,2019-12-31,105365,American Tower Corp,2553.8000,42801.6000,36214.7000,5490.4000,101784.9798
A,USD,STD,FS,C,AMT,2020-12-31,105365,American Tower Corp,2905.6000,47233.5000,42453.0000,4568.4000,
A,USD,STD,INDL,C,AMT,2020-12-31,105365,American Tower Corp,2905.6000,47233.5000,42453.0000,4568.4000,
A,USD,STD,FS,C,AMT,2021-12-31,105365,American Tower Corp,3729.4000,69887.9000,60818.3000,9069.6000,
A,USD,STD,INDL,C,AMT,2021-12-31,105365,American Tower Corp,3729.4000,69887.9000,60818.3000,9069.6000,
A,USD,STD,FS,C,AMT,2022-12-31,105365,American Tower Corp,3622.3000,67194.5000,54786.0000,12408.5000,
A,USD,STD,INDL,C,AMT,2022-12-31,105365,American Tower Corp,3622.3000,67194.5000,54786.0000,12408.5000,
A,USD,STD,FS,C,AMT,2023-12-31,105365,American Tower Corp,3710.0000,66027.6000,55162.2000,10865.4000,
A,USD,STD,INDL,C,AMT,2023-12-31,105365,American Tower Corp,3710.0000,66027.6000,55162.2000,10865.4000,
A,USD,STD,FS,C,AMT,2024-12-31,105365,American Tower Corp,3178.8000,61077.4000,51428.7000,9648.7000,
A,USD,STD,INDL,C,AMT,2024-12-31,105365,American Tower Corp,3178.8000,61077.4000,51428.7000,9648.7000,
A,USD,STD,FS,C,AMT,2025-12-31,105365,American Tower Corp,2741.8000,63190.4000,52835.1000,10355.3000,81871.4513
A,USD,STD,INDL,C,AMT,2025-12-31,105365,American Tower Corp,2741.8000,63190.4000,52835.1000,10355.3000,81871.4513
A,USD,STD,INDL,C,CPT,1993-12-31,028629,Camden Property Trust,,304.3450,126.4110,177.9340,
A,USD,STD,INDL,C,CPT,1994-12-31,028629,Camden Property Trust,,504.2840,224.7300,279.5540,
A,USD,STD,INDL,C,CPT,1995-12-31,028629,Camden Property Trust,,582.3520,312.5730,269.7790,
A,USD,STD,INDL,C,CPT,1996-12-31,028629,Camden Property Trust,,603.5100,308.0820,295.4280,
A,USD,STD,INDL,C,CPT,1997-12-31,028629,Camden Property Trust,,1323.6200,549.7310,710.5640,
A,USD,STD,INDL,C,CPT,1998-12-31,028629,Camden Property Trust,,2347.9820,1105.8110,1170.3880,1152.3720
