costat,curcd,datafmt,indfmt,consol,sic,datadate,gvkey,conm,tic,cusip,cik,ggroup,gind,gsector,gsubind,fdate
A,USD,STD,FS,C,6798,2010-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2011-04-15
A,USD,STD,INDL,C,6798,2010-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2011-02-27
A,USD,STD,FS,C,6798,2011-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2012-04-10
A,USD,STD,INDL,C,6798,2011-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2012-03-06
A,USD,STD,FS,C,6798,2012-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2013-03-25
A,USD,STD,INDL,C,6798,2012-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2013-02-27
A,USD,STD,FS,C,6798,2013-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2014-03-30
A,USD,STD,INDL,C,6798,2013-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2014-03-03
A,USD,STD,FS,C,6798,2014-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2015-03-03
A,USD,STD,INDL,C,6798,2014-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2015-02-20
A,USD,STD,FS,C,6798,2015-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2016-02-17
A,USD,STD,INDL,C,6798,2015-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2016-02-17
A,USD,STD,FS,C,6798,2016-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2017-02-14
A,USD,STD,INDL,C,6798,2016-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2017-02-14
A,USD,STD,FS,C,6798,2017-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2018-02-13
A,USD,STD,INDL,C,6798,2017-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2018-02-13
A,USD,STD,FS,C,6798,2018-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2019-02-13
A,USD,STD,INDL,C,6798,2018-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2019-02-11
A,USD,STD,FS,C,6798,2019-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2020-02-23
A,USD,STD,INDL,C,6798,2019-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2020-02-23
A,USD,STD,FS,C,6798,2020-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2021-02-18
A,USD,STD,INDL,C,6798,2020-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2021-02-18
A,USD,STD,FS,C,6798,2021-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2022-02-21
A,USD,STD,INDL,C,6798,2021-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2022-02-21
A,USD,STD,FS,C,6798,2022-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2023-02-20
A,USD,STD,INDL,C,6798,2022-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2023-02-19
A,USD,STD,FS,C,6798,2023-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2024-02-13
A,USD,STD,INDL,C,6798,2023-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2024-02-12
A,USD,STD,FS,C,6798,2024-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2025-02-10
A,USD,STD,INDL,C,6798,2024-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2025-02-10
A,USD,STD,FS,C,6798,2025-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2026-02-11
A,USD,STD,INDL,C,6798,2025-12-31,001257,ALEXANDER'S INC,ALX,014752109,0000003499,6010,601070,60,60107010,2026-02-10
A,USD,STD,FS,C,6798,2010-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2010-12-16
A,USD,STD,INDL,C,6798,2010-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2010-12-14
A,USD,STD,FS,C,6798,2011-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2011-12-22
A,USD,STD,INDL,C,6798,2011-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2011-12-21
A,USD,STD,FS,C,6798,2012-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2013-01-02
A,USD,STD,INDL,C,6798,2012-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2012-12-17
A,USD,STD,FS,C,6798,2013-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2013-12-19
A,USD,STD,INDL,C,6798,2013-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2013-12-17
A,USD,STD,FS,C,6798,2014-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2014-12-17
A,USD,STD,INDL,C,6798,2014-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2014-12-17
A,USD,STD,FS,C,6798,2015-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2016-01-20
A,USD,STD,INDL,C,6798,2015-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2015-12-11
A,USD,STD,FS,C,6798,2016-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2016-12-23
A,USD,STD,INDL,C,6798,2016-09-30,001949,BRT APARTMENTS CORP,BRT,055645303,0000014846,6010,601060,60,60106010,2016-12-23
