PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,RET,RETX
14061,2013-08-01,AMH,15.50000,16.74000,15.60000,21094700,C,C
14061,2013-08-02,AMH,15.55000,15.90000,15.83000,2114600,0.014744,0.014744
14061,2013-08-05,AMH,15.66000,15.90000,15.66000,736400,-0.010739,-0.010739
14061,2013-08-06,AMH,15.66000,15.99000,15.78000,414200,0.007663,0.007663
14061,2013-08-07,AMH,15.60000,15.77000,15.65000,400600,-0.008238,-0.008238
14061,2013-08-08,AMH,15.75000,16.15000,16.12000,1216600,0.030032,0.030032
14061,2013-08-09,AMH,16.00000,16.16000,16.10000,608400,-0.001241,-0.001241
14061,2013-08-12,AMH,16.05000,16.27000,16.15000,868200,0.003106,0.003106
14061,2013-08-13,AMH,16.00000,16.20000,16.05000,364300,-0.006192,-0.006192
14061,2013-08-14,AMH,15.80000,16.09000,16.04000,371700,-0.000623,-0.000623
14061,2013-08-15,AMH,15.87000,16.10000,16.00000,772400,-0.002494,-0.002494
14061,2013-08-16,AMH,16.00000,16.23000,16.06000,1368000,0.003750,0.003750
14061,2013-08-19,AMH,16.00000,16.11000,16.01000,256000,-0.003113,-0.003113
14061,2013-08-20,AMH,15.93390,16.10000,16.01000,656500,0.000000,0.000000
14061,2013-08-21,AMH,16.00000,16.06000,16.05000,199700,0.002498,0.002498
14061,2013-08-22,AMH,16.01000,16.12000,16.07000,211000,0.001246,0.001246
14061,2013-08-23,AMH,15.65000,16.10000,16.02000,845600,-0.003111,-0.003111
14061,2013-08-26,AMH,15.78000,16.02000,15.85000,358800,-0.010612,-0.010612
14061,2013-08-27,AMH,15.55000,16.04000,15.93000,1135000,0.005047,0.005047
14061,2013-08-28,AMH,15.85000,16.06000,15.91000,552400,-0.001256,-0.001256
14061,2013-08-29,AMH,15.83000,16.01000,15.90000,636100,-0.000629,-0.000629
14061,2013-08-30,AMH,15.85000,15.99000,15.88000,121300,-0.001258,-0.001258
14061,2013-09-03,AMH,15.85010,16.00000,16.00000,724000,0.007557,0.007557
14061,2013-09-04,AMH,15.91000,16.10000,16.05000,630300,0.003125,0.003125
14061,2013-09-05,AMH,15.72000,16.02000,15.84000,352100,-0.013084,-0.013084
14061,2013-09-06,AMH,15.81000,16.06000,15.92000,328600,0.005051,0.005051
14061,2013-09-09,AMH,15.92000,16.10000,16.06000,578000,0.008794,0.008794
14061,2013-09-10,AMH,15.55000,16.05000,15.62000,598400,-0.027397,-0.027397
14061,2013-09-11,AMH,15.46000,15.74000,15.53000,429000,-0.005762,-0.005762
14061,2013-09-12,AMH,15.29000,15.55000,15.35000,446900,-0.011590,-0.011590
14061,2013-09-13,AMH,15.30000,15.85500,15.85000,904800,0.032573,0.032573
14061,2013-09-16,AMH,15.41000,15.95000,15.91000,874600,0.003785,0.003785
14061,2013-09-17,AMH,15.88000,15.97000,15.93000,531300,0.001257,0.001257
14061,2013-09-18,AMH,15.74000,16.04500,15.95000,843600,0.001255,0.001255
14061,2013-09-19,AMH,15.91000,16.05000,16.04000,658800,0.005643,0.005643
14061,2013-09-20,AMH,15.97000,16.38000,16.30000,4165100,0.016209,0.016209
14061,2013-09-23,AMH,16.23000,16.99000,16.80000,1170800,0.030675,0.030675
14061,2013-09-24,AMH,16.68000,16.91000,16.90000,705900,0.005952,0.005952
14061,2013-09-25,AMH,16.54000,16.90000,16.61000,415900,-0.017160,-0.017160
14061,2013-09-26,AMH,16.28000,16.89000,16.72000,539200,0.006622,0.006622
14061,2013-09-27,AMH,16.17000,16.79800,16.40000,428100,-0.019139,-0.019139
14061,2013-09-30,AMH,16.10000,16.63800,16.15000,2734600,-0.015244,-0.015244
14061,2013-10-01,AMH,15.93000,16.30000,16.02000,949100,-0.008049,-0.008049
14061,2013-10-02,AMH,15.61000,15.94000,15.82000,1810200,-0.012484,-0.012484
14061,2013-10-03,AMH,15.45000,15.80000,15.60000,1101900,-0.013906,-0.013906
14061,2013-10-04,AMH,15.50000,16.02000,15.80000,1156400,0.012820,0.012820
14061,2013-10-07,AMH,15.57000,15.79000,15.60000,1349500,-0.012658,-0.012658
14061,2013-10-08,AMH,15.39000,15.72800,15.45000,1528000,-0.009615,-0.009615
14061,2013-10-09,AMH,15.10000,15.55000,15.22000,1511800,-0.014887,-0.014887
14061,2013-10-10,AMH,15.24000,15.40000,15.32000,851900,0.006570,0.006570
14061,2013-10-11,AMH,15.24000,15.62000,15.35000,783300,0.001958,0.001958
14061,2013-10-14,AMH,15.35000,15.84000,15.46000,940500,0.007166,0.007166
14061,2013-10-15,AMH,15.34000,15.55000,15.42000,444400,-0.002587,-0.002587
14061,2013-10-16,AMH,15.45170,15.74900,15.68000,949500,0.016861,0.016861
14061,2013-10-17,AMH,15.70000,15.99700,15.82000,408200,0.008929,0.008929
14061,2013-10-18,AMH,15.78000,16.05000,15.86000,416000,0.002528,0.002528
14061,2013-10-21,AMH,15.73000,16.03000,16.00000,1288300,0.008827,0.008827
14061,2013-10-22,AMH,15.90000,16.53000,16.06000,541600,0.003750,0.003750
14061,2013-10-23,AMH,15.88000,16.13000,15.99000,418300,-0.004359,-0.004359
14061,2013-10-24,AMH,15.88000,16.04720,16.02000,815000,0.001876,0.001876
14061,2013-10-25,AMH,15.98000,16.13000,16.07000,816100,0.003121,0.003121
14061,2013-10-28,AMH,15.95000,16.17000,16.11000,596600,0.002489,0.002489
14061,2013-10-29,AMH,15.86000,16.20000,15.92000,820800,-0.011794,-0.011794
14061,2013-10-30,AMH,15.60000,15.91000,15.65000,1525800,-0.016960,-0.016960
14061,2013-10-31,AMH,15.40000,15.85000,15.48000,1767000,-0.010863,-0.010863
14061,2013-11-01,AMH,15.44000,15.73000,15.66000,678100,0.011628,0.011628
14061,2013-11-04,AMH,15.60000,15.80000,15.75000,997000,0.005747,0.005747
14061,2013-11-05,AMH,15.66010,15.87000,15.77000,1133100,0.001270,0.001270
14061,2013-11-06,AMH,15.74000,16.08000,16.05000,2014900,0.017755,0.017755
14061,2013-11-07,AMH,15.90000,16.15000,16.03000,3063800,-0.001246,-0.001246
14061,2013-11-08,AMH,15.78000,16.33000,16.17000,2018500,0.008734,0.008734
14061,2013-11-11,AMH,15.97000,16.22000,16.10000,1513100,-0.004329,-0.004329
14061,2013-11-12,AMH,16.02000,16.30500,16.24000,1330900,0.008696,0.008696
14061,2013-11-13,AMH,16.27000,16.67000,16.63000,1512600,0.024015,0.024015
14061,2013-11-14,AMH,16.43000,16.62000,16.55000,1097400,-0.004811,-0.004811
14061,2013-11-15,AMH,16.51000,16.89000,16.86000,2546800,0.018731,0.018731
14061,2013-11-18,AMH,16.59200,16.95000,16.76000,2721600,-0.005931,-0.005931
14061,2013-11-19,AMH,16.50000,16.81000,16.54000,1208700,-0.013126,-0.013126
14061,2013-11-20,AMH,16.38000,16.75000,16.42000,1030300,-0.007255,-0.007255
14061,2013-11-21,AMH,16.39000,16.66000,16.45000,1471500,0.001827,0.001827
14061,2013-11-22,AMH,16.37000,16.51000,16.49000,1225400,0.002432,0.002432
14061,2013-11-25,AMH,16.35000,16.61000,16.42000,1391700,-0.004245,-0.004245
14061,2013-11-26,AMH,16.36000,16.71000,16.48000,5872700,0.003654,0.003654
14061,2013-11-27,AMH,16.34000,16.65000,16.45000,1759900,-0.001820,-0.001820
14061,2013-11-29,AMH,16.34000,16.51000,16.40000,273100,-0.003040,-0.003040
14061,2013-12-02,AMH,16.17000,16.48000,16.46000,931000,0.003659,0.003659
14061,2013-12-03,AMH,16.37000,16.52000,16.45000,822800,-0.000607,-0.000607
14061,2013-12-04,AMH,16.17990,16.50000,16.19000,1002900,-0.015805,-0.015805
14061,2013-12-05,AMH,15.90000,16.15000,15.95000,819900,-0.014824,-0.014824
14061,2013-12-06,AMH,16.03000,16.53000,16.50000,794500,0.034483,0.034483
14061,2013-12-09,AMH,16.40000,16.67000,16.50000,997200,0.000000,0.000000
14061,2013-12-10,AMH,16.37000,16.67000,16.39000,528600,-0.006667,-0.006667
14061,2013-12-11,AMH,16.00000,16.30000,16.14000,1070100,-0.012203,-0.015253
14061,2013-12-12,AMH,15.99000,16.27000,16.09000,625300,-0.003098,-0.003098
14061,2013-12-13,AMH,15.99000,16.19000,16.12000,423700,0.001865,0.001865
14061,2013-12-16,AMH,16.01000,16.25000,16.09000,424900,-0.001861,-0.001861
14061,2013-12-17,AMH,15.90000,16.19000,15.99000,524500,-0.006215,-0.006215
14061,2013-12-18,AMH,16.00000,16.35000,16.20000,683800,0.013133,0.013133
